date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,last_1_hour_traffic,last_2_hour_traffic,last_3_hour_traffic,last_4_hour_traffic,last_5_hour_traffic,last_6_hour_traffic,hour,month_day,weekday,month,year
2012-10-09 19:00:00,1,103,74,2,230,6,6,288.86,0.0,0.0,75,Clouds,broken clouds,3418,4460.0,6127.0,6349.0,5777.0,5300.0,5030.0,19,9,2,10,2012
2012-10-09 20:00:00,1,49,74,0,0,4,4,287.36,0.0,0.0,90,Clouds,overcast clouds,2775,3418.0,4460.0,6127.0,6349.0,5777.0,5300.0,20,9,2,10,2012
2012-10-09 21:00:00,1,257,74,3,220,1,1,285.11,0.0,0.0,90,Clouds,overcast clouds,2306,2775.0,3418.0,4460.0,6127.0,6349.0,5777.0,21,9,2,10,2012
2012-10-09 22:00:00,1,226,51,5,230,2,2,283.46,0.0,0.0,90,Clouds,overcast clouds,1846,2306.0,2775.0,3418.0,4460.0,6127.0,6349.0,22,9,2,10,2012
2012-10-09 23:00:00,1,163,44,4,230,4,4,282.45,0.0,0.0,90,Clouds,overcast clouds,947,1846.0,2306.0,2775.0,3418.0,4460.0,6127.0,23,9,2,10,2012
2012-10-10 00:00:00,1,71,42,3,220,7,7,281.88,0.0,0.0,90,Clouds,overcast clouds,494,947.0,1846.0,2306.0,2775.0,3418.0,4460.0,0,10,3,10,2012
2012-10-10 01:00:00,1,249,31,4,230,3,3,281.78,0.0,0.0,90,Clouds,overcast clouds,332,494.0,947.0,1846.0,2306.0,2775.0,3418.0,1,10,3,10,2012
2012-10-10 02:00:00,1,199,27,5,220,1,1,281.09,0.0,0.0,75,Clouds,broken clouds,261,332.0,494.0,947.0,1846.0,2306.0,2775.0,2,10,3,10,2012
2012-10-10 03:00:00,1,155,31,4,210,5,5,281.17,0.0,0.0,90,Clouds,overcast clouds,361,261.0,332.0,494.0,947.0,1846.0,2306.0,3,10,3,10,2012
2012-10-10 06:00:00,1,19,25,4,210,3,3,281.25,0.0,0.0,92,Clear,sky is clear,5875,361.0,261.0,332.0,494.0,947.0,1846.0,6,10,3,10,2012
2012-10-10 07:00:00,1,69,23,3,220,3,3,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,6793,5875.0,361.0,261.0,332.0,494.0,947.0,7,10,3,10,2012
2012-10-10 07:00:00,1,139,21,6,220,2,2,281.25,0.0,0.0,99,Rain,light rain,6793,6793.0,5875.0,361.0,261.0,332.0,494.0,7,10,3,10,2012
2012-10-10 08:00:00,1,82,33,3,150,7,7,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,6283,6793.0,6793.0,5875.0,361.0,261.0,332.0,8,10,3,10,2012
2012-10-10 08:00:00,1,184,27,2,170,2,2,280.1,0.0,0.0,99,Rain,light rain,6283,6283.0,6793.0,6793.0,5875.0,361.0,261.0,8,10,3,10,2012
2012-10-10 09:00:00,1,248,33,3,160,3,3,279.61,0.0,0.0,99,Rain,light rain,5680,6283.0,6283.0,6793.0,6793.0,5875.0,361.0,9,10,3,10,2012
2012-10-10 09:00:00,1,188,36,3,170,6,6,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,5680,5680.0,6283.0,6283.0,6793.0,6793.0,5875.0,9,10,3,10,2012
2012-10-10 10:00:00,1,76,39,3,170,2,2,279.67,0.0,0.0,99,Clear,sky is clear,4632,5680.0,5680.0,6283.0,6283.0,6793.0,6793.0,10,10,3,10,2012
2012-10-10 11:00:00,1,90,45,2,130,2,2,280.19,0.0,0.0,1,Clear,sky is clear,4887,4632.0,5680.0,5680.0,6283.0,6283.0,6793.0,11,10,3,10,2012
2012-10-10 12:00:00,1,86,51,2,140,3,3,282.09,0.0,0.0,75,Clouds,broken clouds,5030,4887.0,4632.0,5680.0,5680.0,6283.0,6283.0,12,10,3,10,2012
2012-10-10 13:00:00,1,257,42,2,200,7,7,282.26,0.0,0.0,75,Clouds,broken clouds,5067,5030.0,4887.0,4632.0,5680.0,5680.0,6283.0,13,10,3,10,2012
2012-10-10 14:00:00,1,204,45,2,195,9,9,282.05,0.0,0.0,90,Clouds,overcast clouds,5227,5067.0,5030.0,4887.0,4632.0,5680.0,5680.0,14,10,3,10,2012
